141;;SETTLEMENT.C;/module/settlement/create;URI para actualizar un registro de;1
142;;SYNCDOCS.LD;/admin/management/lastDateSyncDocs;URI para obtener última fecha del proceso de sincronización de documentos;1
143;;SYNCHRONIZE.T;/module/task/syncClassDocs;URI para Iniciar un proceso de Sincronización de DocumentosClasificados Solr-DB;1
144;;TIPOPERMISO.G;/admin/tipoPermiso/get;URI para obtener un listado de tipo permiso;1
145;;TOKENUPLOAD.C;/module/classify/loadTokens;URI para crear documentos por medio de palabras clave y subirlos a Solr;1
146;;TRACKMONITOR.C;/module/trackMonitor/create;URI Lectura de Tracking Monitor;1
147;;TRACKMONITOR.D;/module/trackMonitor/delete;URI Eliminación/desactivación Tracking Monitor;1
148;;TRACKMONITOR.R;/module/trackMonitor/read;URI Lectura de Tracking Monitor;1
149;;TRACKMONITOR.U;/module/trackMonitor/update;URI Actualización Tracking Monitor;1
150;;TRACKPOSTULANT.C;/module/trackPostulante/create;Creación de Tracking Persona;1
151;;TRACKPOSTULANT.CF;/module/trackPostulante/confirm;URI que confirma la adicion del candidato a la posición.;1
152;;TRACKPOSTULANT.D;/module/trackPostulante/delete;Eliminación de Tracking Persona;1
153;;TRACKPOSTULANT.G;/module/trackPostulante/get;Listado Tracking Persona;1
154;;TRACKPOSTULANT.R;/module/trackPostulante/read;Lectura de Tracking Persona;1
155;;TRACKPOSTULANT.RLB;/module/trackPostulante/rollback;Des-hacer de Tracking Persona;1
156;;TRACKPOSTULANT.U;/module/trackPostulante/update;Actualizado de Tracking Persona;1
157;;VACANCY.C;/module/vacancy/create;URI para crear un nuevo registro de posición;1
158;;VACANCY.CL;/module/vacancy/clone;URI para clonar los registros asociados a una posición;1
159;;VACANCY.D;/module/vacancy/delete;URI para eliminar un registro de posición;1
160;;VACANCY.DC;/module/vacancy/dataconf;URI que obtiene dataconf de posición;1
161;;VACANCY.G;/module/vacancy/get;URI para obtener registro(s) de posición;1
162;;VACANCY.P;/module/vacancy/setVacancyPublication;URI para publicar una posición;1
163;;VACANCY.R;/module/vacancy/read;URI para leer un registro de posición;1
164;;VACANCY.U;/module/vacancy/update;URI para actualizar un registro de posición;1
165;;VACANCYTEXT.C;/module/vacancyText/create;URI para crear un nuevo registro de función o texto asociado al perfil;1
166;;VACANCYTEXT.D;/module/vacancyText/delete;URI para eliminar un registro de función o texto asociado al perfil;1
167;;VACANCYTEXT.U;/module/vacancyText/update;URI para actualizar un registro de función o texto asociado al perfil;1
168;;VACATION.C;/module/vacation/create;URI para crear un nuevo registro de Vacaciones;1
169;;VACATION.D;/module/vacation/delete;URI para eliminar un registro de Vacaciones;1
170;;VACATION.R;/module/vacation/read;URI para obtener un registro de Vacaciones;1
171;;VACATION.U;/module/vacation/update;URI para actualizar un registro de  Vacaciones;1
172;;VOUCHER.C;/module/voucher/create;URI para crear un nuevo registro de Vales;1
173;;VOUCHER.D;/module/voucher/delete;URI para eliminar un registro de Vales;1
174;;VOUCHER.R;/module/voucher/read;URI para obtener un registro de Vales;1
175;;VOUCHER.U;/module/voucher/update;URI para actualizar un registro de  Vales;1
176;;WORKEXP.C;/module/workExperience/create;URI para crear un nuevo registro de Experiencia laboral;1
177;;WORKEXP.D;/module/workExperience/delete;URI para eliminar un registro de Experiencia laboral;1
178;;WORKEXP.G;/module/workExperience/get;URI para obtener listado de Experiencia laboral;1
179;;WORKEXP.U;/module/workExperience/update;URI para actualizar un registro de Experiencia laboral;1
180;;Curriculum Vitae;#/cvpw;/Curriculum Vitae;2
181;;Posición;;/Posición;2
182;181;Buscar CV;#/cvfind;/Posición/Buscar CV;2
183;181;Perfiles;#/prfhome;/Posición/Perfiles;2
184;181;Vacantes;#/vchome;/Posición/Vacantes;2
185;181;Modelos RSC;#/lstemplates;/Posición/Modelos RSC;2
186;;Administración;;/Administración;2
187;186;Carga Masiva;;/Administración/Carga Masiva;2
188;187;Semillas Modelo;#/seeds;/Administración/Carga Masiva/Semillas Modelo;2
189;187;Archivo Csv;#/csvupl;/Administración/Carga Masiva/Archivo Csv;2
190;186;Modelo;;/Administración/Modelo;2
191;190;Reload Core Solr;#/vprcs/3;/Administración/Modelo/Reload Core Solr;2
192;190;Reclasificar;#/vprcs/4;/Administración/Modelo/Reclasificar;2
193;190;Remodelar;#/vprcs/2;/Administración/Modelo/Remodelar;2
194;186;Empresa;;/Administración/Empresa;2
195;194;Lista de Empresas;#/ehome;/Administración/Empresa/Lista de Empresas;2
196;194;CV Empresarial;#/eupd;/Administración/Empresa/CV Empresarial;2
197;186;Documentos;;/Administración/Documentos;2
198;197;Clasificados;#/vdc;/Administración/Documentos/Clasificados;2
199;197;Sincronización;#/vprcs/1;/Administración/Documentos/Sincronización;2
200;186;Roles y Permisos;;/Administración/Roles y Permisos;2
201;200;Permisos;#/perm;/Administración/Roles y Permisos/Permisos;2
202;200;Roles;;/Administración/Roles y Permisos/Roles;2
203;202;Rol;#/rol;/Administración/Roles y Permisos/Roles/Rol;2
204;202;Asignar Permisos;#/asgperm;/Administración/Roles y Permisos/Roles/Asignar Permisos;2
205;186;Catálogos;#/catadm;/Administración/Catálogos;2
206;186;Empresa Parametro;#/eparam;/Administración/Empresa Parametro;2
207;;Cambio de Contraseña;#/vccn;/Cambio de Contraseña;2
